f0,sigma,gain
17.866827313924297,1.1542327037549889,7.019392198366402e-11
32.646793148325784,1.1611090479473638,-1.0501996002781173e-11
56.13664663941753,1.180317304832505,-1.296695660465548e-10
57.279572929637304,1.1815112079050447,3.2079530220702205e-11
70.91624288041449,1.1976123936406877,1.9400382598565194e-11
91.76526157184945,1.2288515630836152,-3.0367966770985364e-11
95.5488596617348,1.2353791279580484,-5.926063146890684e-11
119.91875394719959,1.2837419157381689,-3.1420073203370976e-12
130.03448361015182,1.3070298872401702,5.6098823232132895e-11
134.6983023755533,1.3184015789060313,4.700881016166496e-13
136.1039206168504,1.321907444720893,-1.8056876338065298e-11
159.33087664247554,1.3851092704895245,-1.4359355710877282e-12
174.3731154018308,1.4313420027248713,3.335649052511817e-11
190.2955766086648,1.484821135836929,-3.5162552591936674e-11
193.81647223945762,1.4972773699442323,1.3593210157973575e-12
209.2135383038542,1.5544319501366854,1.9477017876450643e-10
223.99307648447063,1.6134020174080992,-2.914031820415227e-11
228.564758872055,1.6324577574322023,6.495577166157221e-11
238.15508702793957,1.6736832085079723,8.082544768432018e-13
248.62563869474403,1.720627049164178,8.90122104218483e-11
254.34024131604258,1.7470998712340076,-4.817958240396344e-11
283.11122357914553,1.8895194248605058,-8.42628423532483e-11
292.34672056226236,1.9384690692007953,1.5739280906635121e-12
292.6094173302939,1.9398843861644481,8.900203536974411e-11
324.0210689262871,2.1182829871586417,-1.827329135503267e-10
327.44983012467094,2.1388564757349,-5.010273963313738e-11
328.2379203966276,2.1436158374966467,-1.0167331591003312e-11
338.8006040176829,2.2085092882774786,2.7339357117934946e-11
356.3913731598093,2.3211421868249857,2.156583795289073e-12
363.43316208746535,2.3678280431125964,-8.351088402275915e-11
366.5070930592337,2.3884940755061255,1.878206683799705e-11
381.6414577676184,2.4927804848074118,-9.756574469239934e-11
397.91874267400794,2.609651631119579,7.905491599975326e-11
411.9886167938245,2.7146061729915982,-4.428017477443803e-11
430.2890453478331,2.8565747479650616,4.551021903188479e-13
442.25734535134455,2.952757383536243,4.700600336465439e-11
445.6861062947172,2.980798686880325,-1.3368349075673267e-10
450.25778754550396,3.0185239638239882,8.179846219760003e-11
464.34136469374243,3.1371607714005068,-5.5681509990251624e-12
479.1208986195596,3.2655891361106386,8.330712503886283e-13
496.44896980132603,3.42128758338264,9.153519025948019e-11
503.7534550145389,3.488577996931248,-2.5446983200913197e-12
505.59233214676055,3.505672967867846,3.4407917967440246e-11
514.0397376316538,3.5850038909877755,1.982027674008991e-12
519.583775700824,3.6377832685381586,-2.821104465997599e-11
538.2390336992919,3.819539733317919,2.4089136125507247e-12
543.8615017511728,3.8755761412670195,-6.356141501771139e-11
560.4936158269029,4.044749465461054,1.2542010740629562e-10
582.5776344872545,4.2772516765084685,1.4323347976079901e-12
603.3344660792986,4.503971368147664,-1.2286228840859972e-10
607.6434504260563,4.55203170604211,-1.5401288240957282e-12
609.0490674218722,4.567783264056609,-1.8973138059382555e-11
630.1744323580222,4.808901212924631,1.0265625354019007e-10
634.3912833310062,4.858015216356004,2.646714035171555e-11
636.7692572154975,4.885856109522948,2.7891888778126725e-12
644.9539657699435,4.98247747096993,-1.535875840290202e-11
647.3182363066492,5.010617649766437,3.504883698993807e-11
669.58652139551,5.280712820682485,4.691476269472675e-11
696.9381775565819,5.6249650758578245,9.546944960453349e-11
700.8139017601575,5.674860267163641,3.821689281348929e-12
704.0720991567059,5.717019641517879,-4.441129214751852e-11
711.1001840511339,5.808625235059285,8.492506861446855e-13
718.1419722852845,5.901321974434241,1.1526692507198782e-10
722.3588232169213,5.957269055271343,6.898930845730071e-11
748.4106989660908,6.31017526471393,-2.6406776668286102e-11
760.6279916330931,6.479980483035698,-1.2744284255776778e-10
774.7115680385259,6.679136336015066,8.064795237014467e-13
800.394910259324,7.05173143359986,-5.2643117545270857e-11
802.6023207395585,7.084321973290688,-5.1421784505712704e-11
811.7456827022654,7.22027182984475,-8.956711322893559e-11
821.5202748038541,7.3673103872592485,-3.3166290265518085e-11
824.4099387477868,7.411116471752756,-3.0879938981180016e-12
836.29980796194,7.5929803683835875,4.962117942304458e-12
845.5215999168886,7.735827287007732,1.588908635750172e-12
858.4622560031916,7.938921454443978,3.5122781408081475e-12
860.932363197365,7.978038589894542,-1.515722308382584e-11
866.6469644050467,8.068967002050437,-7.045675982187666e-11
883.7907680179352,8.345361586570485,-2.935159649609112e-12
895.4179404729131,8.535897431247692,1.4348362188411916e-11
913.7046643006195,8.840602435087224,1.9141690595879372e-10
915.2024146153037,8.865831824518745,4.938824615069809e-11
939.7565397447376,9.285334223680858,8.531448530880242e-12
940.5446299066158,9.298982537577698,-1.4868200698610454e-11
947.5727146959053,9.421202361618208,-7.111992455086391e-14
952.0659656332472,9.499817712599352,-2.72916873446475e-12
978.5373977784044,9.97051985654369,6.716276079890831e-11
993.9481609678576,10.250491250214093,1.6613175217871265e-11
1016.8065656615364,10.673822857648714,-1.240681823098779e-10
