step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CF_DELAY_0,train/param_grad/CF_DEPTH_0,train/param_grad/CF_MIX_0,train/param_grad/CF_RATE_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/perc,train/spec,train/total,train/wave,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/chorus_delay_ms,val_id/param_group/chorus_depth,val_id/param_group/chorus_mix,val_id/param_group/chorus_rate,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
14099,56,,0.000569601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14149,56,,0.000569601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14199,56,,0.000569601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14249,56,56,0.000569601,9.5668,0,0.04332,0.313494,6.45143e-05,0.0255247,0.014928,0.0149573,0.0149541,0.0154212,5.77117e-05,0.014954,0.0149597,0,0.00973806,0.323232,0,5.64302,11.1329,1.37743,0.115831,0.0802885,0.202997,0.196511,0.0821593,0.0995424,0.0619191,0.0441016,0.00644156,0.0311457,0.0780671,0,0.234069,0,5.75053,16.8974,2.51805,0.35129,0,0,0.473952,0
14299,57,,0.000563905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14349,57,,0.000563905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14399,57,,0.000563905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14449,57,,0.000563905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14499,57,57,0.000563905,9.50013,0,0.0499867,0.306242,6.51814e-05,0.0266392,0.0148192,0.0148517,0.0148503,0.0154388,5.73794e-05,0.0148503,0.0148587,0,0.0112213,0.317464,0,5.63786,11.023,1.37007,0.115028,0.0811395,0.203075,0.194439,0.0862931,0.100977,0.0627707,0.0434389,0.00598854,0.0321327,0.0822802,0,0.230681,0,5.78947,16.7745,2.49217,0.344795,0,0,0.469429,0
14549,58,,0.000558266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14599,58,,0.000558266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14649,58,,0.000558266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14699,58,,0.000558266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14749,58,58,0.000558266,9.43347,0,0.0566533,0.298628,6.58941e-05,0.0282139,0.0147141,0.0147497,0.0147464,0.0155038,5.69607e-05,0.0147475,0.0147565,0,0.0127587,0.311387,0,5.7306,11.1071,1.38974,0.118888,0.080785,0.202818,0.196571,0.0830214,0.0996254,0.0629083,0.0440193,0.00650902,0.0295642,0.0828133,0,0.237542,0,5.88139,16.7719,2.51749,0.346815,0,0,0.474365,0
14799,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14849,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14899,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14949,59,,0.000552683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
