filename,est_E,est_rho,est_h,est_Ly,est_T0,est_op_x,est_op_y,gt_E,gt_rho,gt_h,gt_Ly,gt_T0,gt_op_x,gt_op_y,est_mu,est_D_div_mu,est_T0_div_mu,refined_mu,refined_D_div_mu,refined_T0_div_mu,refined_Ly,refined_op_x,refined_op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,elapsed_s
random_IR_0001.npz,169437293014.8881,13780.03955839088,0.0035508230765336,2.6915591289339,602.768014237103,0.8264880724092518,0.7244177336827338,131819184298.85242,12673.80384034166,0.0038607574654896,2.691559161389242,602.7673484378831,0.8264881154026615,0.7244177335187193,48.93048245948022,13.780471744952994,12.318865131490595,48.930494325729995,13.780471744952994,12.318865131490595,2.6915591289339,0.8264880724092518,0.7244177336827338,48.93048279274982,13.78047400625313,12.31885144054203,48.93048245948022,48.930494325729995,48.93048279274982,-3.3326960391377725e-07,1.1532980174422391e-05,2.2215120910364095e-13,2.2200512641342568e-13,-1.4608269021526565e-16,1.5112990876992186e-15,3.570240640868187e-15,2.0589415531689686e-15,1.5112990513810579e-15,True,51.560526315789474,0.477
random_IR_0002.npz,211241236811.8811,19498.06358992104,0.0043109705838384,3.686141698292093,383.497722051273,0.78834189863604,0.963542267918358,147920922722.1944,17314.430715954095,0.0048546510420041,3.686141702268032,383.44768441058943,0.7883418349360268,0.963542352763404,84.05557857796016,17.897188636175873,4.562430341200795,84.0556067625298,17.897188636175873,4.562430341200795,3.686141698292093,0.78834189863604,0.963542267918358,84.05551911691434,17.897192258481063,4.561838275928618,84.05557857796016,84.0556067625298,84.05551911691434,5.9461045822217784e-05,8.764561546570349e-05,8.805604086604274e-14,8.795117141090908e-14,-1.0486945513366042e-16,4.0762933780650533e-13,4.71863709469574e-13,6.423437166306871e-14,4.076293378762215e-13,True,84.3142105263158,0.55
random_IR_0003.npz,67119954491.1916,12872.89983980591,0.0018943259676561,1.306004638887311,20.22664403557332,0.9363059199619168,0.9895229830032348,186057982895.32712,18083.253096301232,0.0013485171988061,1.3060045687738722,20.22819525635132,0.9363059526409414,0.9895229876940544,24.385468445580386,1.6631528566986695,0.8294548075101337,24.38547222615027,1.6631528566986695,0.8294548075101337,1.306004638887311,0.9363059199619168,0.9895229830032348,24.385577810725874,1.6631530041768487,0.8295146997687317,24.385468445580386,24.38547222615027,24.385577810725874,-0.0001093651454873168,-0.00010558457560350121,1.369202494438948e-12,1.3688937136602242e-12,-3.0878077872387166e-16,1.8968695435233919e-13,1.7709718164047503e-13,-1.2589772711864159e-14,1.896869543543907e-13,True,24.26578947368421,0.625
random_IR_0004.npz,75894339024.9708,3592.871544964039,0.0036860950620768,3.417559779032144,780.5377387068957,0.5802431095391699,0.972887709092303,164907916263.11115,4653.5592063359445,0.0028459174490117,3.4175598362284982,780.5313709946926,0.5802431108304328,0.972887769354296,13.243666060568188,25.512218906498518,58.93668227039308,13.243658491076278,25.512218906498518,58.93668227039308,3.417559779032144,0.5802431095391699,0.972887709092303,13.243645345320504,25.51222490269219,58.93629364444471,13.243666060568188,13.243658491076278,13.243645345320504,2.071524768432198e-05,1.3145755774601753e-05,5.236523562858475e-13,5.219445210237483e-13,-1.7078352620991666e-15,1.580198445193061e-13,1.5404893229941242e-13,-3.970912219893672e-15,1.5801984366928742e-13,True,13.347894736842106,0.453
random_IR_0005.npz,146923961561.6375,17395.06703532814,0.0025960672485709,2.613359994719959,264.5621692651085,0.7885326446011585,0.5192070249776527,136791000829.13193,16985.593361363273,0.002658647759962,2.613360133075208,264.5629665485059,0.7885326349456379,0.519207002213814,45.15876381711068,5.059945943254893,5.858490067101122,45.15874664694511,5.059945943254893,5.858490067101122,2.613359994719959,0.7885326446011585,0.5192070249776527,45.15870974181389,5.059946047841708,5.858514737491241,45.15876381711068,45.15874664694511,45.15870974181389,5.407529679501977e-05,3.690513122478478e-05,4.020466414216689e-13,3.9465528284612916e-13,-7.391358575539742e-15,4.670523780375475e-14,2.250352002626194e-14,-2.4201717777492808e-14,4.670523941101872e-14,True,46.101578947368424,0.701
random_IR_0006.npz,67214095718.76614,14767.62974598992,0.0047104597655133,2.891142905821245,616.9403666015381,0.6861588788571138,0.7241456698845301,171318505762.83295,20172.463876074933,0.0034483828908896,2.891142941520044,616.9378275347882,0.6861588712811552,0.7241456573616774,69.56232575048291,8.976843207280655,8.868886425886288,69.562389333379,8.976843207280655,8.868886425886288,2.891142905821245,0.6861588788571138,0.7241456698845301,69.5623792973453,8.976845948324273,8.868843098331634,69.56232575048291,69.562389333379,69.5623792973453,-5.3546862389453054e-05,1.003603370008932e-05,2.0523819731395332e-13,1.9767778451466878e-13,-7.560412799284544e-15,4.6473855399424236e-14,3.6129448078174055e-15,-4.286091059160683e-14,4.647385360459937e-14,True,67.93736842105264,0.608
random_IR_0007.npz,189344702182.8723,18654.65654647272,0.0010003231407134,3.123130293602375,666.7703509025835,0.5731738563014006,0.6645598195316177,99188531844.29764,15037.991948821396,0.001240901886517,3.123130468189068,666.7700477785132,0.5731738858508781,0.6645598919528501,18.660684625497378,0.9028051114042198,35.73129090834799,18.660677905494694,0.9028051114042198,35.73129090834799,3.123130293602375,0.5731738563014006,0.6645598195316177,18.66067257871993,0.9028050531466348,35.73129773140534,18.660684625497378,18.660677905494694,18.66067257871993,1.2046777449370438e-05,5.3267747652796515e-06,1.063017404136224e-12,1.0541685796852662e-12,-8.848824450957693e-15,7.14508760192953e-15,5.336324025807318e-15,-1.8087635761222114e-15,7.145087604236285e-15,True,18.806842105263158,1.793
random_IR_0008.npz,67003979117.63586,19594.76387599134,0.0035179831257812,2.154761209105811,438.6076678096816,0.6123496692351975,0.5890415968247601,82612856044.4483,21011.42815551345,0.0032807870816715,2.1547612357336057,438.60712744718575,0.612349610486469,0.5890416637636482,68.93404866940455,3.76179861080162,6.362714453537555,68.93404003251567,3.76179861080162,6.362714453537555,2.154761209105811,0.6123496692351975,0.5890415968247601,68.93402206007737,3.761799410073101,6.362709070782652,68.93404866940455,68.93404003251567,68.93402206007737,2.6609327179016873e-05,1.7972438300262183e-05,3.430728737121441e-13,3.405649514568593e-13,-2.5079222552848446e-15,1.6521019861071817e-14,1.055563691119734e-14,-5.965382949874477e-15,1.652101994682261e-14,True,67.93736842105264,0.678
random_IR_0009.npz,140729881360.0462,8114.50206740249,0.0017429164212607,2.994014094257061,466.3160324155019,0.564083820777671,0.8316014570137675,91322346297.76453,7025.201129630132,0.0020131664101591,2.994014143849656,466.3161097485777,0.5640838191705095,0.831601498837984,14.1428989036297,4.683009591635906,32.97174331747676,14.142902811515626,4.683009591635906,32.97174331747676,2.994014094257061,0.564083820777671,0.8316014570137675,14.142898938783146,4.683010453498064,32.971748703501625,14.1428989036297,14.142902811515626,14.142898938783146,-3.515344637605722e-08,3.872732479592855e-06,8.997322743613256e-13,8.921039362959349e-13,-7.62833806539076e-15,1.2964302855186528e-15,1.5287697284139587e-15,2.3233944289530594e-16,1.296430286873575e-15,True,13.347894736842106,0.815
random_IR_0010.npz,86285029996.28442,18181.19369308386,0.0017552300181146,1.500730541475533,368.7307913477989,0.9205930072192664,0.5570882003725875,81856495196.33838,17864.672721141178,0.0017863294467202,1.50073055891098,368.7314834092575,0.920593004674414,0.5570882198680419,31.912176935256635,1.2996565912270688,11.55454834986279,31.91217702541529,1.2996565912270688,11.55454834986279,1.500730541475533,0.9205930072192664,0.5570882003725875,31.91219093779357,1.2996567710331561,11.55456496634862,31.912176935256635,31.91217702541529,31.91219093779357,-1.4002536936175147e-05,-1.3912378282299187e-05,1.6099192291785247e-12,1.6099192291785247e-12,0.0,3.5838605839574695e-15,3.5448693051979864e-15,-3.899127875948313e-17,3.583860452387782e-15,True,29.724736842105266,0.781
